split0_test_rmse,split1_test_rmse,split2_test_rmse,mean_test_rmse,std_test_rmse,rank_test_rmse,split0_test_mae,split1_test_mae,split2_test_mae,mean_test_mae,std_test_mae,rank_test_mae,mean_fit_time,std_fit_time,mean_test_time,std_test_time,params,param_n_epochs,param_n_factors,param_lr_all,param_reg_all,param_random_state
0.9488974966428534,0.9435071594352894,0.9440794869353751,0.9454947143378393,0.002417448414248145,1,0.6848315852908624,0.6820428989552444,0.6817934943906908,0.682889326212266,0.001377153684354811,4,1538.2141331831615,9.366336775008511,74.75661635398865,0.9631636289635955,"{'n_epochs': 20, 'n_factors': 5, 'lr_all': 0.007, 'reg_all': 0.05, 'random_state': 42}",20,5,0.007,0.05,42
0.9488798350925292,0.9436761514174725,0.9442971822179793,0.945617722909327,0.0023205533443041116,2,0.6867164188173601,0.6841248605640348,0.6838962901440102,0.684912523175135,0.0012789554918647603,7,1544.355476140976,3.8656694408123413,74.43231829007466,1.4279249552602433,"{'n_epochs': 20, 'n_factors': 5, 'lr_all': 0.007, 'reg_all': 0.07, 'random_state': 42}",20,5,0.007,0.07,42
0.9489382149818235,0.943844091907335,0.944304001291392,0.9456954360601836,0.0023006651953091702,3,0.6868836306233024,0.6842692863860405,0.683805861168117,0.6849862593924866,0.001354917936948535,8,1910.758532365163,9.697008159230643,73.11392585436504,0.4832122587580821,"{'n_epochs': 20, 'n_factors': 10, 'lr_all': 0.007, 'reg_all': 0.07, 'random_state': 42}",20,10,0.007,0.07,42
0.9489624362299668,0.9437119566578802,0.9446336461591739,0.945769346349007,0.002288994702937626,4,0.6868722466773198,0.6841287459589915,0.6842056405813884,0.6850688777392332,0.0012755607501225962,9,2274.356767098109,17.361908383498722,70.21523674329121,1.2246269607096179,"{'n_epochs': 20, 'n_factors': 15, 'lr_all': 0.007, 'reg_all': 0.07, 'random_state': 42}",20,15,0.007,0.07,42
0.9492994955787429,0.9439319975177566,0.944246845161716,0.9458261127527385,0.0024594136769717596,5,0.6851297674220951,0.682167817328838,0.6815559990291608,0.6829511945933646,0.001560601398076392,5,1896.1460142930348,8.418769388595011,71.35264166196187,0.6015638812010812,"{'n_epochs': 20, 'n_factors': 10, 'lr_all': 0.007, 'reg_all': 0.05, 'random_state': 42}",20,10,0.007,0.05,42
0.9493026425686043,0.9438402606466877,0.9449226314299161,0.946021844881736,0.002361582340256468,6,0.6849133840169447,0.6818727700172053,0.6821780767694118,0.6829880769345206,0.0013670914562091431,6,2282.141194740931,6.874107895945985,71.54903364181519,1.2122140831468087,"{'n_epochs': 20, 'n_factors': 15, 'lr_all': 0.007, 'reg_all': 0.05, 'random_state': 42}",20,15,0.007,0.05,42
0.9502714537640201,0.9452521169406911,0.9454095637411379,0.9469777114819498,0.002329914310193466,7,0.6815215144917391,0.6789082443583628,0.6783823060937495,0.6796040216479504,0.001372767732000244,1,1535.7340483665466,4.783708084651742,73.63073913256328,0.6617641581160135,"{'n_epochs': 20, 'n_factors': 5, 'lr_all': 0.007, 'reg_all': 0.02, 'random_state': 42}",20,5,0.007,0.02,42
0.9529814735854121,0.9475212392050715,0.9475063941173065,0.9493363689692633,0.0025774853172758905,8,0.683208842598029,0.6799094073972584,0.6790870306987177,0.6807350935646683,0.00178113289203162,2,1918.0395572185516,10.195447669040258,73.47511752446492,0.8312954950263345,"{'n_epochs': 20, 'n_factors': 10, 'lr_all': 0.007, 'reg_all': 0.02, 'random_state': 42}",20,10,0.007,0.02,42
0.9536229676784999,0.948056950760719,0.9493787429042542,0.9503528871144912,0.002374426778404845,9,0.6830551193192537,0.6797284955267818,0.6804171348326795,0.6810669165595717,0.00143370584700678,3,2279.0545206069946,5.952718411894377,72.71291613578796,1.9012914632033795,"{'n_epochs': 20, 'n_factors': 15, 'lr_all': 0.007, 'reg_all': 0.02, 'random_state': 42}",20,15,0.007,0.02,42
0.9791291670179073,0.9739470467572732,0.9748943978803738,0.9759902038851848,0.002253025476857512,10,0.7470151003505292,0.7445270219730631,0.7445017489996646,0.7453479571077523,0.0011788934429508135,17,1545.8673463662465,10.940243834980311,75.32377640406291,0.8915921652025003,"{'n_epochs': 20, 'n_factors': 5, 'lr_all': 0.007, 'reg_all': 0.7, 'random_state': 42}",20,5,0.007,0.7,42
0.9791575859028987,0.9739783826716562,0.974916631697637,0.976017533424064,0.0022531496452840864,11,0.747045508335117,0.7445628707386989,0.744531432769728,0.7453799372811812,0.0011778065172895402,18,1904.1849910418193,1.8288280793027012,73.23454634348552,1.2600562853913158,"{'n_epochs': 20, 'n_factors': 10, 'lr_all': 0.007, 'reg_all': 0.7, 'random_state': 42}",20,10,0.007,0.7,42
0.9791756494802744,0.9739945223284041,0.9749529086339163,0.9760410268141982,0.002250780682586511,12,0.7470819262458027,0.7445974282475962,0.7445761391850896,0.7454184978928295,0.0011762535781460214,19,2280.316003640493,11.048742468027719,72.28809936841328,1.655235002304102,"{'n_epochs': 20, 'n_factors': 15, 'lr_all': 0.007, 'reg_all': 0.7, 'random_state': 42}",20,15,0.007,0.7,42
0.9924928624234999,0.988418892079717,0.9878203982245162,0.9895773842425776,0.002075983058898976,13,0.7512878347135181,0.74916389409662,0.747392749961863,0.7492814929240003,0.0015923344327946078,21,1729.2356690565746,7.389886154308038,37.886510928471886,0.26005809691342535,"{'n_epochs': 20, 'n_factors': 15, 'lr_all': 0.07, 'reg_all': 0.7, 'random_state': 42}",20,15,0.07,0.7,42
