split0_test_rmse,split1_test_rmse,split2_test_rmse,mean_test_rmse,std_test_rmse,rank_test_rmse,split0_test_mae,split1_test_mae,split2_test_mae,mean_test_mae,std_test_mae,rank_test_mae,mean_fit_time,std_fit_time,mean_test_time,std_test_time,params,param_n_epochs,param_n_factors,param_lr_all,param_reg_all,param_random_state
0.9478374297696324,0.9472919163593558,0.9460439510455115,0.9470577657248332,0.0007506714208866717,1,0.6848821180397113,0.6844273665200579,0.6835008100662681,0.6842700982086791,0.0005747770122389131,83,110.69442574183147,0.7931575847195079,5.775399128595988,0.23570870707382952,"{'n_epochs': 65, 'n_factors': 20, 'lr_all': 0.002, 'reg_all': 0.04, 'random_state': 42}",65,20,0.002,0.04,42
0.9479185556474298,0.9472815216249365,0.9460939775466167,0.9470980182729943,0.000756098063138261,2,0.6858447671734142,0.6853061044243733,0.6844454921375982,0.6851987879117952,0.0005762697758680058,168,73.02018332481384,0.8262490510500908,6.204500834147136,0.4932654925713162,"{'n_epochs': 40, 'n_factors': 20, 'lr_all': 0.003, 'reg_all': 0.04, 'random_state': 42}",40,20,0.003,0.04,42
0.9479174449041349,0.9472909986142051,0.9460869114668004,0.9470984516617135,0.0007596134600287616,3,0.6858328771391587,0.685297983061992,0.6844310858519361,0.685187315351029,0.0005776043685895842,164,105.29525812466939,0.17864865404008168,5.506685574849446,0.24204798030051297,"{'n_epochs': 60, 'n_factors': 20, 'lr_all': 0.002, 'reg_all': 0.04, 'random_state': 42}",60,20,0.002,0.04,42
0.9478688998074135,0.9473544048923879,0.9460976361928659,0.9471069802975558,0.0007439793436428788,4,0.6845057189534131,0.6840838259793085,0.6831426450060947,0.6839107299796053,0.0005697744087498951,49,78.23689007759094,0.8083417667821611,5.835091431935628,0.2033454633007121,"{'n_epochs': 45, 'n_factors': 20, 'lr_all': 0.003, 'reg_all': 0.04, 'random_state': 42}",45,20,0.003,0.04,42
0.9479307495150942,0.9472836906117205,0.9461125696717814,0.9471090032661987,0.0007524764612802694,5,0.6858656579164655,0.6853205399977282,0.6844646540926269,0.6852169506689402,0.0005766287022464491,172,55.468125104904175,0.7980483101395224,5.672714153925578,0.18708131887437235,"{'n_epochs': 30, 'n_factors': 20, 'lr_all': 0.004, 'reg_all': 0.04, 'random_state': 42}",30,20,0.004,0.04,42
0.9479564503850443,0.9474742600348958,0.9462036224581454,0.947211444292695,0.0007393265048184172,6,0.6841892165680563,0.6837979740290347,0.6828385944017186,0.6836085949996032,0.0005674171725999837,33,60.83515318234762,0.39707831618262196,6.297648350397746,0.226859095102673,"{'n_epochs': 35, 'n_factors': 20, 'lr_all': 0.004, 'reg_all': 0.04, 'random_state': 42}",35,20,0.004,0.04,42
0.9479808163369626,0.9475250659646575,0.9462176905355454,0.9472411909457219,0.0007472580623798716,7,0.6841779139201619,0.6837956335338659,0.6828174622937327,0.6835970032492535,0.0005728860558245598,32,122.61075743039449,0.028548729999138427,5.503448009490967,0.16834330849252027,"{'n_epochs': 70, 'n_factors': 20, 'lr_all': 0.002, 'reg_all': 0.04, 'random_state': 42}",70,20,0.002,0.04,42
0.9482315178611109,0.9475311849259084,0.9463593105714707,0.94737400445283,0.0007723640375208854,8,0.6870789622174351,0.6864673231731018,0.6856628834837092,0.6864030562914154,0.000579895058948311,305,96.68834241231282,0.6264220982519434,5.518475373586019,0.13800807475799381,"{'n_epochs': 55, 'n_factors': 20, 'lr_all': 0.002, 'reg_all': 0.04, 'random_state': 42}",55,20,0.002,0.04,42
0.9484092859583452,0.9475874822900683,0.9464892320184877,0.9474953334223004,0.0007865622854607087,9,0.6851636022388018,0.6847041099597361,0.6839004810027856,0.6845893977337744,0.0005220076533970215,106,127.14514716466267,1.211707613789898,5.5359640916188555,0.24622376167532545,"{'n_epochs': 65, 'n_factors': 25, 'lr_all': 0.002, 'reg_all': 0.04, 'random_state': 42}",65,25,0.002,0.04,42
0.948415918640753,0.9475652490732331,0.9465157319264929,0.9474989665468264,0.0007771625386592232,10,0.6861106598453857,0.6855907510667131,0.6848411536163906,0.6855141881761632,0.0005210936726548068,204,79.80428942044576,0.16916625445852193,5.687511444091797,0.12583085731510127,"{'n_epochs': 40, 'n_factors': 25, 'lr_all': 0.003, 'reg_all': 0.04, 'random_state': 42}",40,25,0.003,0.04,42
0.9484223232625435,0.9475753198092467,0.9465128507628618,0.9475034979448841,0.0007811914370201982,11,0.6860997198215765,0.685581357624704,0.6848306058437891,0.6855038944300231,0.0005210009482086392,202,116.32186071077983,1.3004878264772142,5.722673098246257,0.30237566659118176,"{'n_epochs': 60, 'n_factors': 25, 'lr_all': 0.002, 'reg_all': 0.04, 'random_state': 42}",60,25,0.002,0.04,42
0.9484206782505369,0.9475661147077363,0.9465301570742602,0.9475056500108444,0.0007729853660388263,12,0.6861291381998207,0.6856048094616132,0.6848546389025943,0.685529528854676,0.0005230280374850677,205,58.6562348206838,0.019056175781242735,5.598154624303182,0.1868668801697283,"{'n_epochs': 30, 'n_factors': 25, 'lr_all': 0.004, 'reg_all': 0.04, 'random_state': 42}",30,25,0.004,0.04,42
0.9484667861824262,0.947658646092123,0.9465502937865814,0.9475585753537102,0.0007855980271307518,13,0.6847960595221856,0.6843681360042213,0.683530204766665,0.6842314667643573,0.0005257413346011179,77,86.8377336661021,1.7285270557881822,5.49413267771403,0.176012638043269,"{'n_epochs': 45, 'n_factors': 25, 'lr_all': 0.003, 'reg_all': 0.04, 'random_state': 42}",45,25,0.003,0.04,42
